size,randQuickSort,insertion,merge,shell,tim,intro
10,10,0,31,0,29,19
10,29,0,11,0,1,2
10,19,1,16,1,2,2
10,15,0,10,0,1,16
10,10,0,11,0,1,2
50,82,0,77,23,2,16
50,65,2,63,4,3,16
50,216,13,94,11,15,22
50,94,1,63,3,3,40
50,65,5,91,4,4,16
250,331,4,360,22,5,117
250,466,38,391,37,40,137
250,598,309,529,83,267,238
250,548,31,604,39,33,204
250,678,133,740,96,166,310
1250,4468,72,4078,323,41,1466
1250,4662,1867,4829,589,1706,1679
1250,5770,11660,6464,1305,17478,1076
1250,2253,422,2274,195,1371,864
1250,2300,1648,3976,373,2323,890
6250,11870,95,9008,790,73,5598
6250,22285,30957,17201,2967,31230,3328
6250,8750,83691,13456,4642,153719,3274
6250,8256,9682,13278,916,10809,5474
6250,13832,48787,7291,1013,37627,8266
31250,110180,543,62928,5245,738,32083
31250,75661,666973,108764,9462,759535,19921
31250,70256,3484838,41517,28864,3785887,21754
31250,58468,318152,66056,8354,306851,24865
31250,70893,945104,44909,9767,1146243,20281
