size,randQuickSort,insertion,merge,shell,tim,intro
10,13,20,38,107,24,5
10,11,1,35,2,1,3
10,18,3,27,3,3,9
10,12,0,15,1,1,4
10,12,1,16,2,1,3
50,108,12,170,16,28,25
50,78,14,93,20,15,28
50,108,59,226,47,69,34
50,78,17,93,18,20,27
50,71,34,95,19,23,48
250,475,637,592,146,746,156
250,468,682,608,176,732,189
250,624,775,721,213,866,200
250,781,1079,1004,237,1113,242
250,1010,1869,2227,519,1997,328
1250,7204,30914,8159,2019,27175,2121
1250,6193,31568,14961,3577,32943,3982
1250,5750,37848,12243,3141,27284,1231
1250,2619,6810,4060,1098,5962,5556
1250,2517,9259,8379,1344,11898,1447
6250,15332,133941,16461,5013,167319,12094
6250,20897,270613,36606,15584,272978,6343
6250,9966,424708,26643,12984,561503,4426
6250,11908,340730,21521,7007,347783,8861
6250,15231,552211,14275,5951,510427,12731
31250,83820,9006661,86118,49864,12942369,47688
31250,85142,10028713,174342,52934,13627711,35147
31250,94585,12157262,121311,73696,11849676,34297
31250,120960,14965769,119793,55880,14063014,44560
31250,69433,11852342,123550,54597,14249507,41560
